id,value
Parasitic Diseases,C03
Parasitic Diseases.Central Nervous System Parasitic Infections,C03.105
Parasitic Diseases.Central Nervous System Parasitic Infections.Central Nervous System Helminthiasis,C03.105.250
Parasitic Diseases.Central Nervous System Parasitic Infections.Central Nervous System Helminthiasis.Neurocysticercosis,C03.105.250.550
Parasitic Diseases.Central Nervous System Parasitic Infections.Central Nervous System Helminthiasis.Neuroschistosomiasis,C03.105.250.600
Parasitic Diseases.Central Nervous System Parasitic Infections.Central Nervous System Protozoal Infections,C03.105.300
"Parasitic Diseases.Central Nervous System Parasitic Infections.Central Nervous System Protozoal Infections.Malaria, Cerebral",C03.105.300.500
"Parasitic Diseases.Central Nervous System Parasitic Infections.Central Nervous System Protozoal Infections.Toxoplasmosis, Cerebral",C03.105.300.800
Parasitic Diseases.Coinfection,C03.202
"Parasitic Diseases.Eye Infections, Parasitic",C03.300
"Parasitic Diseases.Eye Infections, Parasitic.Acanthamoeba Keratitis",C03.300.125
"Parasitic Diseases.Eye Infections, Parasitic.Onchocerciasis, Ocular",C03.300.562
"Parasitic Diseases.Eye Infections, Parasitic.Toxoplasmosis, Ocular",C03.300.781
Parasitic Diseases.Helminthiasis,C03.335
Parasitic Diseases.Helminthiasis.Cestode Infections,C03.335.190
Parasitic Diseases.Helminthiasis.Cestode Infections.Diphyllobothriasis,C03.335.190.304
Parasitic Diseases.Helminthiasis.Cestode Infections.Diphyllobothriasis.Sparganosis,C03.335.190.304.780
Parasitic Diseases.Helminthiasis.Cestode Infections.Echinococcosis,C03.335.190.396
"Parasitic Diseases.Helminthiasis.Cestode Infections.Echinococcosis.Echinococcosis, Hepatic",C03.335.190.396.314
"Parasitic Diseases.Helminthiasis.Cestode Infections.Echinococcosis.Echinococcosis, Pulmonary",C03.335.190.396.480
Parasitic Diseases.Helminthiasis.Cestode Infections.Hymenolepiasis,C03.335.190.519
Parasitic Diseases.Helminthiasis.Cestode Infections.Monieziasis,C03.335.190.628
Parasitic Diseases.Helminthiasis.Cestode Infections.Taeniasis,C03.335.190.902
Parasitic Diseases.Helminthiasis.Cestode Infections.Taeniasis.Cysticercosis,C03.335.190.902.185
Parasitic Diseases.Helminthiasis.Cestode Infections.Taeniasis.Cysticercosis.Neurocysticercosis,C03.335.190.902.185.550
"Parasitic Diseases.Helminthiasis.Helminthiasis, Animal",C03.335.349
"Parasitic Diseases.Helminthiasis.Helminthiasis, Animal.Dictyocaulus Infections",C03.335.349.315
"Parasitic Diseases.Helminthiasis.Helminthiasis, Animal.Dirofilariasis",C03.335.349.320
"Parasitic Diseases.Helminthiasis.Helminthiasis, Animal.Fascioloidiasis",C03.335.349.444
"Parasitic Diseases.Helminthiasis.Helminthiasis, Animal.Monieziasis",C03.335.349.656
"Parasitic Diseases.Helminthiasis.Helminthiasis, Animal.Setariasis",C03.335.349.820
"Parasitic Diseases.Helminthiasis.Helminthiasis, Animal.Strongyle Infections, Equine",C03.335.349.840
"Parasitic Diseases.Helminthiasis.Helminthiasis, Animal.Toxocariasis",C03.335.349.868
Parasitic Diseases.Helminthiasis.Nematode Infections,C03.335.508
Parasitic Diseases.Helminthiasis.Nematode Infections.Adenophorea Infections,C03.335.508.100
Parasitic Diseases.Helminthiasis.Nematode Infections.Adenophorea Infections.Enoplida Infections,C03.335.508.100.275
Parasitic Diseases.Helminthiasis.Nematode Infections.Adenophorea Infections.Enoplida Infections.Trichinellosis,C03.335.508.100.275.882
Parasitic Diseases.Helminthiasis.Nematode Infections.Adenophorea Infections.Enoplida Infections.Trichuriasis,C03.335.508.100.275.895
Parasitic Diseases.Helminthiasis.Nematode Infections.Larva Migrans,C03.335.508.523
"Parasitic Diseases.Helminthiasis.Nematode Infections.Larva Migrans.Larva Migrans, Visceral",C03.335.508.523.780
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections,C03.335.508.700
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Ascaridida Infections,C03.335.508.700.100
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Ascaridida Infections.Anisakiasis,C03.335.508.700.100.060
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Ascaridida Infections.Ascariasis,C03.335.508.700.100.070
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Ascaridida Infections.Ascaridiasis,C03.335.508.700.100.080
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Ascaridida Infections.Toxascariasis,C03.335.508.700.100.850
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Ascaridida Infections.Toxocariasis,C03.335.508.700.100.868
"Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Ascaridida Infections.Toxocariasis.Larva Migrans, Visceral",C03.335.508.700.100.868.420
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Oxyurida Infections,C03.335.508.700.550
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Oxyurida Infections.Oxyuriasis,C03.335.508.700.550.550
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Oxyurida Infections.Oxyuriasis.Enterobiasis,C03.335.508.700.550.550.375
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Rhabditida Infections,C03.335.508.700.700
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Rhabditida Infections.Strongyloidiasis,C03.335.508.700.700.799
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Spirurida Infections,C03.335.508.700.750
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Spirurida Infections.Dracunculiasis,C03.335.508.700.750.299
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Spirurida Infections.Filariasis,C03.335.508.700.750.361
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Spirurida Infections.Filariasis.Acanthocheilonemiasis,C03.335.508.700.750.361.137
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Spirurida Infections.Filariasis.Dipetalonema Infections,C03.335.508.700.750.361.275
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Spirurida Infections.Filariasis.Dirofilariasis,C03.335.508.700.750.361.290
"Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Spirurida Infections.Filariasis.Elephantiasis, Filarial",C03.335.508.700.750.361.350
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Spirurida Infections.Filariasis.Loiasis,C03.335.508.700.750.361.518
Parasitic Diseases.Helminthiasis.Nematode Infections.Secernentea Infections.Spirurida Infections.Filariasis.Mansonelliasis,C03.335.508.700.750.361.588
