id,value
Investigative Techniques,E05
Investigative Techniques.Accelerometry,E05.003
Investigative Techniques.Accelerometry.Actigraphy,E05.003.500
Investigative Techniques.Airway Extubation,E05.008
Investigative Techniques.Animal Experimentation,E05.017
Investigative Techniques.Animal Experimentation.Animal Use Alternatives,E05.017.080
Investigative Techniques.Animal Experimentation.Animal Use Alternatives.Animal Testing Alternatives,E05.017.080.100
Investigative Techniques.Animal Experimentation.Rotarod Performance Test,E05.017.449
Investigative Techniques.Animal Experimentation.Vivisection,E05.017.900
Investigative Techniques.Animal Identification Systems,E05.035
Investigative Techniques.Anthropometry,E05.041
Investigative Techniques.Anthropometry.Body Weights and Measures,E05.041.124
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Mass Index,E05.041.124.125
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Size,E05.041.124.160
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Size.Body Height,E05.041.124.160.500
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Size.Body Height.Crown-Rump Length,E05.041.124.160.500.500
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Size.Body Weight,E05.041.124.160.750
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Size.Body Weight.Birth Weight,E05.041.124.160.750.149
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Size.Body Weight.Fetal Weight,E05.041.124.160.750.300
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Size.Body Weight.Ideal Body Weight,E05.041.124.160.750.650
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Size.Sagittal Abdominal Diameter,E05.041.124.160.812
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Size.Waist Circumference,E05.041.124.160.875
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Size.Waist Circumference.Lipid Accumulation Product,E05.041.124.160.875.500
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Size.Waist-Height Ratio,E05.041.124.160.937
Investigative Techniques.Anthropometry.Body Weights and Measures.Body Surface Area,E05.041.124.231
Investigative Techniques.Anthropometry.Body Weights and Measures.Organ Size,E05.041.124.715
Investigative Techniques.Anthropometry.Body Weights and Measures.Skinfold Thickness,E05.041.124.803
Investigative Techniques.Anthropometry.Body Weights and Measures.Tumor Burden,E05.041.124.892
Investigative Techniques.Anthropometry.Body Weights and Measures.Waist-Hip Ratio,E05.041.124.946
Investigative Techniques.Anthropometry.Cephalometry,E05.041.250
Investigative Techniques.Anthropometry.Odontometry,E05.041.650
Investigative Techniques.Anthropometry.Odontometry.Age Determination by Teeth,E05.041.650.500
Investigative Techniques.Anthropometry.Pelvimetry,E05.041.690
Investigative Techniques.Artifacts,E05.047
Investigative Techniques.Autoanalysis,E05.059
"Investigative Techniques.Automation, Laboratory",E05.064
Investigative Techniques.Autopsy,E05.070
Investigative Techniques.Biological Assay,E05.091
Investigative Techniques.Biological Assay.Limulus Test,E05.091.570
Investigative Techniques.Biomedical Enhancement,E05.104
Investigative Techniques.Biomedical Enhancement.Genetic Enhancement,E05.104.500
Investigative Techniques.Bioprinting,E05.111
Investigative Techniques.Bioprospecting,E05.114
Investigative Techniques.Bone Demineralization Technique,E05.118
Investigative Techniques.Catheterization,E05.157
Investigative Techniques.Catheterization.Angioplasty,E05.157.016
"Investigative Techniques.Catheterization.Angioplasty.Angioplasty, Balloon",E05.157.016.060
"Investigative Techniques.Catheterization.Angioplasty.Angioplasty, Balloon.Angioplasty, Balloon, Coronary",E05.157.016.060.100
"Investigative Techniques.Catheterization.Angioplasty.Angioplasty, Balloon.Angioplasty, Balloon, Laser-Assisted",E05.157.016.060.105
"Investigative Techniques.Catheterization.Angioplasty.Angioplasty, Laser",E05.157.016.075
"Investigative Techniques.Catheterization.Angioplasty.Angioplasty, Laser.Angioplasty, Balloon, Laser-Assisted",E05.157.016.075.080
Investigative Techniques.Catheterization.Angioplasty.Atherectomy,E05.157.016.120
"Investigative Techniques.Catheterization.Angioplasty.Atherectomy.Atherectomy, Coronary",E05.157.016.120.125
Investigative Techniques.Catheterization.Balloon Embolectomy,E05.157.032
Investigative Techniques.Catheterization.Balloon Occlusion,E05.157.063
Investigative Techniques.Catheterization.Balloon Occlusion.Uterine Balloon Tamponade,E05.157.063.500
Investigative Techniques.Catheterization.Balloon Valvuloplasty,E05.157.125
Investigative Techniques.Catheterization.Cardiac Catheterization,E05.157.250
"Investigative Techniques.Catheterization.Cardiac Catheterization.Catheterization, Swan-Ganz",E05.157.250.165
"Investigative Techniques.Catheterization.Catheterization, Central Venous",E05.157.313
"Investigative Techniques.Catheterization.Catheterization, Peripheral",E05.157.375
"Investigative Techniques.Catheterization.Catheterization, Peripheral.Catheterization, Swan-Ganz",E05.157.375.165
Investigative Techniques.Catheterization.Urinary Catheterization,E05.157.500
Investigative Techniques.Catheterization.Urinary Catheterization.Intermittent Urethral Catheterization,E05.157.500.500
Investigative Techniques.Cementation,E05.170
Investigative Techniques.Centrifugation,E05.181
Investigative Techniques.Centrifugation.Ultracentrifugation,E05.181.724
"Investigative Techniques.Centrifugation.Ultracentrifugation.Centrifugation, Density Gradient",E05.181.724.336
"Investigative Techniques.Centrifugation.Ultracentrifugation.Centrifugation, Density Gradient.Centrifugation, Isopycnic",E05.181.724.336.253
"Investigative Techniques.Centrifugation.Ultracentrifugation.Centrifugation, Density Gradient.Centrifugation, Zonal",E05.181.724.336.336
"Investigative Techniques.Chemistry Techniques, Analytical",E05.196
"Investigative Techniques.Chemistry Techniques, Analytical.Activation Analysis",E05.196.039
"Investigative Techniques.Chemistry Techniques, Analytical.Activation Analysis.Neutron Activation Analysis",E05.196.039.564
"Investigative Techniques.Chemistry Techniques, Analytical.Analytic Sample Preparation Methods",E05.196.059
"Investigative Techniques.Chemistry Techniques, Analytical.Binding, Competitive",E05.196.080
"Investigative Techniques.Chemistry Techniques, Analytical.Biuret Reaction",E05.196.085
"Investigative Techniques.Chemistry Techniques, Analytical.Calorimetry",E05.196.131
"Investigative Techniques.Chemistry Techniques, Analytical.Calorimetry.Calorimetry, Differential Scanning",E05.196.131.310
"Investigative Techniques.Chemistry Techniques, Analytical.Calorimetry.Calorimetry, Indirect",E05.196.131.655
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Precipitation",E05.196.150
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Precipitation.Flocculation",E05.196.150.347
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Precipitation.Flocculation.Flocculation Tests",E05.196.150.347.500
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Precipitation.Fractional Precipitation",E05.196.150.519
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Precipitation.Immunoprecipitation",E05.196.150.639
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Precipitation.Immunoprecipitation.Precipitin Tests",E05.196.150.639.500
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Fractionation",E05.196.155
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Fractionation.Distillation",E05.196.155.249
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Fractionation.Fractionation, Field Flow",E05.196.155.500
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Fractionation.Liquid-Liquid Extraction",E05.196.155.650
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Fractionation.Liquid-Liquid Extraction.Liquid Phase Microextraction",E05.196.155.650.500
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Fractionation.Solid Phase Extraction",E05.196.155.800
"Investigative Techniques.Chemistry Techniques, Analytical.Chemical Fractionation.Solid Phase Extraction.Solid Phase Microextraction",E05.196.155.800.500
"Investigative Techniques.Chemistry Techniques, Analytical.Chromatography",E05.196.181
"Investigative Techniques.Chemistry Techniques, Analytical.Chromatography.Chromatography, Gas",E05.196.181.349
"Investigative Techniques.Chemistry Techniques, Analytical.Chromatography.Chromatography, Gas.Flame Ionization",E05.196.181.349.390
"Investigative Techniques.Chemistry Techniques, Analytical.Chromatography.Chromatography, Gas.Gas Chromatography-Mass Spectrometry",E05.196.181.349.500
