id,value
Reproductive and Urinary Physiological Phenomena,G08
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena,G08.686
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Cell Lineage,G08.686.155
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Climacteric,G08.686.157
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Climacteric.Andropause,G08.686.157.249
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Climacteric.Menopause,G08.686.157.500
"Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Climacteric.Menopause.Menopause, Premature",G08.686.157.500.500
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Climacteric.Menopause.Perimenopause,G08.686.157.500.562
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Climacteric.Menopause.Postmenopause,G08.686.157.500.625
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Climacteric.Menopause.Premenopause,G08.686.157.500.812
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Clutch Size,G08.686.160
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Estrous Cycle,G08.686.195
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Estrous Cycle.Anestrus,G08.686.195.249
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Estrous Cycle.Diestrus,G08.686.195.374
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Estrous Cycle.Estrus,G08.686.195.500
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Estrous Cycle.Estrus.Estrus Synchronization,G08.686.195.500.500
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Estrous Cycle.Metestrus,G08.686.195.750
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Estrous Cycle.Proestrus,G08.686.195.875
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Fertility,G08.686.210
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Fertility.Ovarian Reserve,G08.686.210.249
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Fertility.Time-to-Pregnancy,G08.686.210.500
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Fetal Viability,G08.686.220
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Fetal Weight,G08.686.280
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Follicular Atresia,G08.686.290
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Gestational Age,G08.686.320
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Gravidity,G08.686.340
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Labor Presentation,G08.686.520
Reproductive and Urinary Physiological Phenomena.Reproductive Physiological Phenomena.Labor Presentation.Breech Presentation,G08.686.520.150
