id,value
Natural Science Disciplines,H01
Natural Science Disciplines.Biological Science Disciplines,H01.158
Natural Science Disciplines.Biological Science Disciplines.Anatomy,H01.158.100
"Natural Science Disciplines.Biological Science Disciplines.Anatomy.Anatomy, Artistic",H01.158.100.091
"Natural Science Disciplines.Biological Science Disciplines.Anatomy.Anatomy, Comparative",H01.158.100.154
"Natural Science Disciplines.Biological Science Disciplines.Anatomy.Anatomy, Cross-Sectional",H01.158.100.185
"Natural Science Disciplines.Biological Science Disciplines.Anatomy.Anatomy, Cross-Sectional.Visible Human Projects",H01.158.100.185.905
"Natural Science Disciplines.Biological Science Disciplines.Anatomy.Anatomy, Regional",H01.158.100.216
"Natural Science Disciplines.Biological Science Disciplines.Anatomy.Anatomy, Veterinary",H01.158.100.279
Natural Science Disciplines.Biological Science Disciplines.Anatomy.Cell Biology,H01.158.100.433
Natural Science Disciplines.Biological Science Disciplines.Anatomy.Embryology,H01.158.100.529
Natural Science Disciplines.Biological Science Disciplines.Anatomy.Embryology.Teratology,H01.158.100.529.500
Natural Science Disciplines.Biological Science Disciplines.Anatomy.Histology,H01.158.100.656
Natural Science Disciplines.Biological Science Disciplines.Anatomy.Histology.Histocytochemistry,H01.158.100.656.234
Natural Science Disciplines.Biological Science Disciplines.Anatomy.Histology.Histocytochemistry.Immunohistochemistry,H01.158.100.656.234.512
"Natural Science Disciplines.Biological Science Disciplines.Anatomy.Histology.Histology, Comparative",H01.158.100.656.469
Natural Science Disciplines.Biological Science Disciplines.Anatomy.Neuroanatomy,H01.158.100.700
Natural Science Disciplines.Biological Science Disciplines.Anatomy.Osteology,H01.158.100.720
Natural Science Disciplines.Biological Science Disciplines.Biochemistry,H01.158.201
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Carbohydrate Biochemistry,H01.158.201.085
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Carbohydrate Biochemistry.Glycomics,H01.158.201.085.320
"Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Chemistry, Bioinorganic",H01.158.201.214
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Histocytochemistry,H01.158.201.344
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Histocytochemistry.Immunohistochemistry,H01.158.201.344.512
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Immunochemistry,H01.158.201.486
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Immunochemistry.Immunohistochemistry,H01.158.201.486.512
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Metabolomics,H01.158.201.586
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Molecular Biology,H01.158.201.636
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Molecular Biology.Molecular Medicine,H01.158.201.636.475
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Molecular Biology.Molecular Medicine.Molecular Epidemiology,H01.158.201.636.475.500
"Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Molecular Biology.Molecular Medicine.Pathology, Molecular",H01.158.201.636.475.750
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Neurochemistry,H01.158.201.687
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Proteomics,H01.158.201.843
Natural Science Disciplines.Biological Science Disciplines.Biochemistry.Proteomics.Proteogenomics,H01.158.201.843.500
Natural Science Disciplines.Biological Science Disciplines.Biology,H01.158.273
Natural Science Disciplines.Biological Science Disciplines.Biology.Botany,H01.158.273.118
Natural Science Disciplines.Biological Science Disciplines.Biology.Botany.Ethnobotany,H01.158.273.118.299
