id,value
Persons,M01
Persons.Abortion Applicants,M01.050
Persons.Adult Children,M01.055
Persons.Age Groups,M01.060
Persons.Age Groups.Adolescent,M01.060.057
Persons.Age Groups.Adult,M01.060.116
Persons.Age Groups.Adult.Aged,M01.060.116.100
"Persons.Age Groups.Adult.Aged.Aged, 80 and over",M01.060.116.100.080
Persons.Age Groups.Adult.Aged.Frail Elderly,M01.060.116.100.540
Persons.Age Groups.Adult.Middle Aged,M01.060.116.630
Persons.Age Groups.Adult.Young Adult,M01.060.116.815
Persons.Age Groups.Child,M01.060.406
"Persons.Age Groups.Child.Child, Preschool",M01.060.406.448
Persons.Age Groups.Infant,M01.060.703
"Persons.Age Groups.Infant.Infant, Newborn",M01.060.703.520
"Persons.Age Groups.Infant.Infant, Newborn.Infant, Low Birth Weight",M01.060.703.520.460
"Persons.Age Groups.Infant.Infant, Newborn.Infant, Low Birth Weight.Infant, Small for Gestational Age",M01.060.703.520.460.560
"Persons.Age Groups.Infant.Infant, Newborn.Infant, Low Birth Weight.Infant, Very Low Birth Weight",M01.060.703.520.460.600
"Persons.Age Groups.Infant.Infant, Newborn.Infant, Low Birth Weight.Infant, Very Low Birth Weight.Infant, Extremely Low Birth Weight",M01.060.703.520.460.600.500
"Persons.Age Groups.Infant.Infant, Newborn.Infant, Postmature",M01.060.703.520.500
"Persons.Age Groups.Infant.Infant, Newborn.Infant, Premature",M01.060.703.520.520
"Persons.Age Groups.Infant.Infant, Newborn.Infant, Premature.Infant, Extremely Premature",M01.060.703.520.520.500
Persons.Alcoholics,M01.066
Persons.Athletes,M01.072
Persons.Bedridden Persons,M01.079
Persons.Caregivers,M01.085
"Persons.Child, Abandoned",M01.097
"Persons.Child, Adopted",M01.100
"Persons.Child, Exceptional",M01.102
"Persons.Child, Exceptional.Child, Gifted",M01.102.350
Persons.Child of Impaired Parents,M01.106
"Persons.Child, Foster",M01.107
"Persons.Child, Orphaned",M01.108
"Persons.Child, Unwanted",M01.111
Persons.Consultants,M01.120
Persons.Crime Victims,M01.135
Persons.Crime Victims.Adult Survivors of Child Abuse,M01.135.500
Persons.Criminals,M01.142
Persons.Disabled Persons,M01.150
Persons.Disabled Persons.Amputees,M01.150.100
Persons.Disabled Persons.Disabled Children,M01.150.200
Persons.Disabled Persons.Mentally Disabled Persons,M01.150.600
Persons.Disabled Persons.Mentally Ill Persons,M01.150.725
Persons.Disabled Persons.Persons With Hearing Impairments,M01.150.750
Persons.Disabled Persons.Visually Impaired Persons,M01.150.850
Persons.Disaster Victims,M01.159
Persons.Drug Users,M01.169
Persons.Emigrants and Immigrants,M01.189
Persons.Emigrants and Immigrants.Undocumented Immigrants,M01.189.500
Persons.Famous Persons,M01.228
Persons.Friends,M01.252
Persons.Grandparents,M01.264
Persons.Homebound Persons,M01.276
Persons.Homeless Persons,M01.325
Persons.Homeless Persons.Homeless Youth,M01.325.400
Persons.Jehovah's Witnesses,M01.352
Persons.Legal Guardians,M01.380
Persons.Legal Guardians.Proxy,M01.380.600
Persons.Medically Uninsured,M01.385
Persons.Men,M01.390
"Persons.Men.Nurses, Male",M01.390.660
Persons.Mentors,M01.395
Persons.Minors,M01.416
Persons.Missionaries,M01.427
Persons.Multiple Birth Offspring,M01.438
Persons.Multiple Birth Offspring.Quadruplets,M01.438.486
Persons.Multiple Birth Offspring.Quintuplets,M01.438.587
Persons.Multiple Birth Offspring.Triplets,M01.438.768
Persons.Multiple Birth Offspring.Twins,M01.438.873
"Persons.Multiple Birth Offspring.Twins.Twins, Dizygotic",M01.438.873.920
"Persons.Multiple Birth Offspring.Twins.Twins, Monozygotic",M01.438.873.940
Persons.Occupational Groups,M01.526
Persons.Occupational Groups.Administrative Personnel,M01.526.070
Persons.Occupational Groups.Administrative Personnel.Case Managers,M01.526.070.245
Persons.Occupational Groups.Administrative Personnel.Health Facility Administrators,M01.526.070.490
Persons.Occupational Groups.Administrative Personnel.Health Facility Administrators.Hospital Administrators,M01.526.070.490.490
"Persons.Occupational Groups.Administrative Personnel.Health Facility Administrators.Hospital Administrators.Chief Executive Officers, Hospital",M01.526.070.490.490.100
Persons.Occupational Groups.Administrative Personnel.Nurse Administrators,M01.526.070.670
Persons.Occupational Groups.Administrative Personnel.Physician Executives,M01.526.070.700
Persons.Occupational Groups.Administrative Personnel.Trustees,M01.526.070.940
Persons.Occupational Groups.Astronauts,M01.526.173
Persons.Occupational Groups.Counselors,M01.526.225
Persons.Occupational Groups.Ethicists,M01.526.276
Persons.Occupational Groups.Emergency Responders,M01.526.373
Persons.Occupational Groups.Emergency Responders.Emergency Medical Technicians,M01.526.373.250
Persons.Occupational Groups.Emergency Responders.Firefighters,M01.526.373.400
Persons.Occupational Groups.Emergency Responders.Police,M01.526.373.750
Persons.Occupational Groups.Farmers,M01.526.390
Persons.Occupational Groups.Foreign Professional Personnel,M01.526.407
Persons.Occupational Groups.Foreign Professional Personnel.Foreign Medical Graduates,M01.526.407.435
"Persons.Occupational Groups.Foreign Professional Personnel.Nurses, International",M01.526.407.717
Persons.Occupational Groups.Government Employees,M01.526.446
Persons.Occupational Groups.Health Personnel,M01.526.485
Persons.Occupational Groups.Health Personnel.Allied Health Personnel,M01.526.485.067
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Animal Technicians,M01.526.485.067.040
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Community Health Workers,M01.526.485.067.080
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Dental Auxiliaries,M01.526.485.067.105
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Dental Auxiliaries.Dental Assistants,M01.526.485.067.105.250
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Dental Auxiliaries.Dental Hygienists,M01.526.485.067.105.376
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Dental Auxiliaries.Dental Technicians,M01.526.485.067.105.503
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Dental Auxiliaries.Denturists,M01.526.485.067.105.751
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Emergency Medical Technicians,M01.526.485.067.150
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Home Health Aides,M01.526.485.067.350
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Licensed Practical Nurses,M01.526.485.067.450
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Medical Record Administrators,M01.526.485.067.550
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Medical Secretaries,M01.526.485.067.600
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Medical Secretaries.Medical Receptionists,M01.526.485.067.600.630
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Nurses' Aides,M01.526.485.067.652
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Nurses' Aides.Psychiatric Aides,M01.526.485.067.652.628
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Operating Room Technicians,M01.526.485.067.700
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Pharmacy Technicians,M01.526.485.067.735
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Physical Therapist Assistants,M01.526.485.067.738
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Physician Assistants,M01.526.485.067.740
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Physician Assistants.Ophthalmic Assistants,M01.526.485.067.740.690
Persons.Occupational Groups.Health Personnel.Allied Health Personnel.Physician Assistants.Pediatric Assistants,M01.526.485.067.740.750
Persons.Occupational Groups.Health Personnel.Anatomists,M01.526.485.133
Persons.Occupational Groups.Health Personnel.Anesthetists,M01.526.485.140
Persons.Occupational Groups.Health Personnel.Anesthetists.Anesthesiologists,M01.526.485.140.040
Persons.Occupational Groups.Health Personnel.Anesthetists.Nurse Anesthetists,M01.526.485.140.650
Persons.Occupational Groups.Health Personnel.Audiologists,M01.526.485.170
Persons.Occupational Groups.Health Personnel.Caregivers,M01.526.485.200
Persons.Occupational Groups.Health Personnel.Case Managers,M01.526.485.215
Persons.Occupational Groups.Health Personnel.Coroners and Medical Examiners,M01.526.485.230
Persons.Occupational Groups.Health Personnel.Dental Staff,M01.526.485.290
"Persons.Occupational Groups.Health Personnel.Dental Staff.Dental Staff, Hospital",M01.526.485.290.490
Persons.Occupational Groups.Health Personnel.Dentists,M01.526.485.330
"Persons.Occupational Groups.Health Personnel.Dentists.Dentists, Women",M01.526.485.330.310
Persons.Occupational Groups.Health Personnel.Dentists.Endodontists,M01.526.485.330.397
Persons.Occupational Groups.Health Personnel.Dentists.Oral and Maxillofacial Surgeons,M01.526.485.330.483
Persons.Occupational Groups.Health Personnel.Dentists.Orthodontists,M01.526.485.330.655
Persons.Occupational Groups.Health Personnel.Doulas,M01.526.485.345
Persons.Occupational Groups.Health Personnel.Emergency Medical Dispatcher,M01.526.485.349
Persons.Occupational Groups.Health Personnel.Epidemiologists,M01.526.485.353
"Persons.Occupational Groups.Health Personnel.Faculty, Dental",M01.526.485.360
"Persons.Occupational Groups.Health Personnel.Faculty, Medical",M01.526.485.375
"Persons.Occupational Groups.Health Personnel.Faculty, Nursing",M01.526.485.390
Persons.Occupational Groups.Health Personnel.Health Educators,M01.526.485.410
Persons.Occupational Groups.Health Personnel.Health Facility Administrators,M01.526.485.430
Persons.Occupational Groups.Health Personnel.Health Facility Administrators.Hospital Administrators,M01.526.485.430.490
"Persons.Occupational Groups.Health Personnel.Health Facility Administrators.Hospital Administrators.Chief Executive Officers, Hospital",M01.526.485.430.490.100
Persons.Occupational Groups.Health Personnel.Infection Control Practitioners,M01.526.485.490
Persons.Occupational Groups.Health Personnel.Medical Chaperones,M01.526.485.500
