id,value
Environment and Public Health,N06
Environment and Public Health.Environment,N06.230
Environment and Public Health.Environment.Altitude,N06.230.058
Environment and Public Health.Environment.Carbon Footprint,N06.230.063
Environment and Public Health.Environment.Caves,N06.230.066
Environment and Public Health.Environment.Cities,N06.230.069
Environment and Public Health.Environment.Confined Spaces,N06.230.074
Environment and Public Health.Environment.Conservation of Natural Resources,N06.230.080
Environment and Public Health.Environment.Conservation of Natural Resources.Conservation of Energy Resources,N06.230.080.078
Environment and Public Health.Environment.Conservation of Natural Resources.Endangered Species,N06.230.080.200
Environment and Public Health.Environment.Conservation of Natural Resources.Environmental Restoration and Remediation,N06.230.080.600
"Environment and Public Health.Environment.Conservation of Natural Resources.Environmental Restoration and Remediation.Biodegradation, Environmental",N06.230.080.600.500
Environment and Public Health.Environment.Conservation of Natural Resources.Conservation of Water Resources,N06.230.080.800
Environment and Public Health.Environment.Disasters,N06.230.100
Environment and Public Health.Environment.Disasters.Disaster Planning,N06.230.100.035
Environment and Public Health.Environment.Disasters.Disaster Planning.Strategic Stockpile,N06.230.100.035.500
Environment and Public Health.Environment.Disasters.Emergencies,N06.230.100.083
Environment and Public Health.Environment.Disasters.Emergency Shelter,N06.230.100.121
Environment and Public Health.Environment.Disasters.Mass Casualty Incidents,N06.230.100.160
Environment and Public Health.Environment.Disasters.Relief Work,N06.230.100.300
Environment and Public Health.Environment.Disasters.Rescue Work,N06.230.100.350
Environment and Public Health.Environment.Ecosystem,N06.230.124
Environment and Public Health.Environment.Ecosystem.Biodiversity,N06.230.124.049
Environment and Public Health.Environment.Ecosystem.Biodiversity.Biota,N06.230.124.049.100
Environment and Public Health.Environment.Ecosystem.Biodiversity.Biota.Microbiota,N06.230.124.049.100.500
Environment and Public Health.Environment.Ecosystem.Biodiversity.Biota.Microbiota.Gastrointestinal Microbiome,N06.230.124.049.100.500.250
Environment and Public Health.Environment.Ecosystem.Biodiversity.Biota.Microbiota.Microbial Consortia,N06.230.124.049.100.500.500
Environment and Public Health.Environment.Ecosystem.Biodiversity.Biota.Microbiota.Mycobiome,N06.230.124.049.100.500.750
Environment and Public Health.Environment.Ecosystem.Biodiversity.Biota.Microbiota.Periphyton,N06.230.124.049.100.500.875
Environment and Public Health.Environment.Ecosystem.Biodiversity.Ecotype,N06.230.124.049.230
Environment and Public Health.Environment.Ecosystem.Biodiversity.Endangered Species,N06.230.124.049.250
Environment and Public Health.Environment.Ecosystem.Biodiversity.Introduced Species,N06.230.124.049.400
Environment and Public Health.Environment.Ecosystem.Biomass,N06.230.124.100
Environment and Public Health.Environment.Ecosystem.Coral Reefs,N06.230.124.130
"Environment and Public Health.Environment.Ecosystem.Ecological Systems, Closed",N06.230.124.240
Environment and Public Health.Environment.Ecosystem.Food Chain,N06.230.124.250
Environment and Public Health.Environment.Ecosystem.Forests,N06.230.124.343
Environment and Public Health.Environment.Ecosystem.Forests.Rainforest,N06.230.124.343.500
Environment and Public Health.Environment.Ecosystem.Forests.Taiga,N06.230.124.343.750
Environment and Public Health.Environment.Ecosystem.Grassland,N06.230.124.390
Environment and Public Health.Environment.Ecosystem.Rhizosphere,N06.230.124.437
Environment and Public Health.Environment.Ecosystem.Tundra,N06.230.124.531
Environment and Public Health.Environment.Ecosystem.Tundra.Permafrost,N06.230.124.531.500
Environment and Public Health.Environment.Ecosystem.Wetlands,N06.230.124.625
Environment and Public Health.Environment.Energy-Generating Resources,N06.230.132
Environment and Public Health.Environment.Energy-Generating Resources.Fossil Fuels,N06.230.132.258
Environment and Public Health.Environment.Energy-Generating Resources.Fossil Fuels.Coal,N06.230.132.258.108
Environment and Public Health.Environment.Energy-Generating Resources.Fossil Fuels.Coal.Coke,N06.230.132.258.108.110
Environment and Public Health.Environment.Energy-Generating Resources.Fossil Fuels.Natural Gas,N06.230.132.258.369
Environment and Public Health.Environment.Energy-Generating Resources.Fossil Fuels.Petroleum,N06.230.132.258.630
Environment and Public Health.Environment.Energy-Generating Resources.Fossil Fuels.Petroleum.Fuel Oils,N06.230.132.258.630.500
Environment and Public Health.Environment.Energy-Generating Resources.Fossil Fuels.Petroleum.Gasoline,N06.230.132.258.630.540
Environment and Public Health.Environment.Energy-Generating Resources.Fossil Fuels.Petroleum.Kerosene,N06.230.132.258.630.600
Environment and Public Health.Environment.Energy-Generating Resources.Nuclear Energy,N06.230.132.580
Environment and Public Health.Environment.Energy-Generating Resources.Nuclear Energy.Nuclear Fission,N06.230.132.580.500
Environment and Public Health.Environment.Energy-Generating Resources.Nuclear Energy.Nuclear Fusion,N06.230.132.580.520
Environment and Public Health.Environment.Energy-Generating Resources.Renewable Energy,N06.230.132.644
Environment and Public Health.Environment.Energy-Generating Resources.Renewable Energy.Biofuels,N06.230.132.644.124
Environment and Public Health.Environment.Energy-Generating Resources.Renewable Energy.Geothermal Energy,N06.230.132.644.186
Environment and Public Health.Environment.Energy-Generating Resources.Renewable Energy.Solar Energy,N06.230.132.644.500
Environment and Public Health.Environment.Energy-Generating Resources.Renewable Energy.Water Movements,N06.230.132.644.750
Environment and Public Health.Environment.Energy-Generating Resources.Renewable Energy.Water Movements.Tidal Waves,N06.230.132.644.750.500
Environment and Public Health.Environment.Energy-Generating Resources.Renewable Energy.Wind,N06.230.132.644.875
"Environment and Public Health.Environment.Environment, Controlled",N06.230.150
"Environment and Public Health.Environment.Environment, Controlled.Air Conditioning",N06.230.150.050
"Environment and Public Health.Environment.Environment, Controlled.Diving",N06.230.150.150
"Environment and Public Health.Environment.Environment, Controlled.Ecological Systems, Closed",N06.230.150.225
"Environment and Public Health.Environment.Environment, Controlled.Heating",N06.230.150.300
"Environment and Public Health.Environment.Environment, Controlled.Housing",N06.230.150.360
"Environment and Public Health.Environment.Environment, Controlled.Housing.Housing, Animal",N06.230.150.360.250
"Environment and Public Health.Environment.Environment, Controlled.Housing.Housing, Animal.Hospitals, Animal",N06.230.150.360.250.200
"Environment and Public Health.Environment.Environment, Controlled.Housing.Housing for the Elderly",N06.230.150.360.260
"Environment and Public Health.Environment.Environment, Controlled.Housing.Public Housing",N06.230.150.360.650
"Environment and Public Health.Environment.Environment, Controlled.Humidity",N06.230.150.372
"Environment and Public Health.Environment.Environment, Controlled.Life Support Systems",N06.230.150.391
"Environment and Public Health.Environment.Environment, Controlled.Lighting",N06.230.150.410
"Environment and Public Health.Environment.Environment, Controlled.Space Simulation",N06.230.150.440
"Environment and Public Health.Environment.Environment, Controlled.Space Simulation.Weightlessness Simulation",N06.230.150.440.950
"Environment and Public Health.Environment.Environment, Controlled.Space Simulation.Weightlessness Simulation.Hindlimb Suspension",N06.230.150.440.950.400
"Environment and Public Health.Environment.Environment, Controlled.Temperature",N06.230.150.450
"Environment and Public Health.Environment.Environment, Controlled.Ventilation",N06.230.150.520
Environment and Public Health.Environment.Environment Design,N06.230.200
Environment and Public Health.Environment.Environmental Policy,N06.230.204
Environment and Public Health.Environment.Explosions,N06.230.208
Environment and Public Health.Environment.Fires,N06.230.216
Environment and Public Health.Environment.Fires.Fire Extinguishing Systems,N06.230.216.500
Environment and Public Health.Environment.Fires.Spontaneous Combustion,N06.230.216.750
Environment and Public Health.Environment.Fires.Wildfires,N06.230.216.875
Environment and Public Health.Environment.Fresh Water,N06.230.232
Environment and Public Health.Environment.Fresh Water.Lakes,N06.230.232.500
Environment and Public Health.Environment.Fresh Water.Ponds,N06.230.232.625
Environment and Public Health.Environment.Fresh Water.Rivers,N06.230.232.650
Environment and Public Health.Environment.Greenhouse Effect,N06.230.265
Environment and Public Health.Environment.Ice,N06.230.291
Environment and Public Health.Environment.Ice.Ice Cover,N06.230.291.500
Environment and Public Health.Environment.Islands,N06.230.295
Environment and Public Health.Environment.Meteorological Concepts,N06.230.300
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere,N06.230.300.100
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Air,N06.230.300.100.150
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Air.Air Ionization,N06.230.300.100.150.100
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Air.Air Movements,N06.230.300.100.150.185
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Air.Air Movements.Wind,N06.230.300.100.150.185.200
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Air.Compressed Air,N06.230.300.100.150.592
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Atmospheric Pressure,N06.230.300.100.185
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Atmospheric Pressure.Air Pressure,N06.230.300.100.185.100
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Atmospheric Pressure.Vacuum,N06.230.300.100.185.902
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Climate,N06.230.300.100.250
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Climate.Cold Climate,N06.230.300.100.250.275
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Climate.Desert Climate,N06.230.300.100.250.325
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Climate.Microclimate,N06.230.300.100.250.450
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Climate.Seasons,N06.230.300.100.250.525
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Climate.Tropical Climate,N06.230.300.100.250.600
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Cosmic Radiation,N06.230.300.100.300
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Stratospheric Ozone,N06.230.300.100.700
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Stratospheric Ozone.Ozone Depletion,N06.230.300.100.700.500
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Weather,N06.230.300.100.725
Environment and Public Health.Environment.Meteorological Concepts.Atmosphere.Weather.Cold Temperature,N06.230.300.100.725.154
