id,name
A02,Musculoskeletal System
A02.083,Aponeurosis
A02.165,Cartilage
A02.165.257,Elastic Cartilage
A02.165.257.250,Ear Cartilage
A02.165.257.625,Laryngeal Cartilages
A02.165.257.625.083,Arytenoid Cartilage
A02.165.257.625.211,Cricoid Cartilage
A02.165.257.625.411,Epiglottis
A02.165.257.625.870,Thyroid Cartilage
A02.165.308,Fibrocartilage
A02.165.308.410,Intervertebral Disc
A02.165.308.410.250,Annulus Fibrosus
A02.165.308.410.500,Nucleus Pulposus
A02.165.308.538,Meniscus
A02.165.308.538.500,"Menisci, Tibial"
A02.165.308.575,Palmar Plate
A02.165.308.650,Plantar Plate
A02.165.308.800,Triangular Fibrocartilage
A02.165.407,Hyaline Cartilage
A02.165.407.150,"Cartilage, Articular"
A02.165.407.325,Costal Cartilage
A02.165.407.500,Laryngeal Cartilages
A02.165.407.500.083,Arytenoid Cartilage
A02.165.407.500.211,Cricoid Cartilage
A02.165.407.500.411,Epiglottis
A02.165.407.500.870,Thyroid Cartilage
A02.165.407.550,Nasal Cartilages
A02.340,Fascia
A02.340.424,Fascia Lata
A02.340.800,Tenon Capsule
A02.513,Ligaments
A02.513.170,Broad Ligament
A02.513.514,"Ligaments, Articular"
A02.513.514.100,Anterior Cruciate Ligament
A02.513.514.162,Collateral Ligaments
A02.513.514.162.250,"Collateral Ligament, Ulnar"
A02.513.514.162.500,"Lateral Ligament, Ankle"
A02.513.514.162.600,"Medial Collateral Ligament, Knee"
A02.513.514.287,Ligamentum Flavum
A02.513.514.350,Longitudinal Ligaments
A02.513.514.475,Patellar Ligament
A02.513.514.538,Plantar Plate
A02.513.514.600,Posterior Cruciate Ligament
A02.513.514.800,Round Ligament of Femur
A02.513.901,Round Ligaments
A02.513.901.500,Round Ligament of Femur
A02.513.901.750,Round Ligament of Liver
A02.513.901.875,Round Ligament of Uterus
A02.633,Muscles
A02.633.567,"Muscle, Skeletal"
A02.633.567.050,Abdominal Muscles
A02.633.567.050.375,Abdominal Oblique Muscles
A02.633.567.050.750,Pelvic Floor
A02.633.567.050.800,Rectus Abdominis
A02.633.567.175,Back Muscles
A02.633.567.175.500,Intermediate Back Muscles
