id,name
E01,Diagnosis
E01.055,Clinical Decision-Making
E01.110,Delayed Diagnosis
E01.158,"Diagnosis, Computer-Assisted"
E01.158.600,"Image Interpretation, Computer-Assisted"
E01.158.600.339,Neuronavigation
E01.158.600.680,"Radiographic Image Interpretation, Computer-Assisted"
E01.171,"Diagnosis, Differential"
E01.190,"Diagnosis, Dual (Psychiatry)"
E01.354,Diagnostic Errors
E01.354.340,False Negative Reactions
E01.354.506,False Positive Reactions
E01.354.753,Observer Variation
E01.370,Diagnostic Techniques and Procedures
E01.370.049,Age Determination by Skeleton
E01.370.060,Autopsy
E01.370.100,Breath Tests
E01.370.225,Clinical Laboratory Techniques
E01.370.225.124,Clinical Chemistry Tests
E01.370.225.124.100,Blood Chemical Analysis
E01.370.225.124.100.100,Blood Gas Analysis
E01.370.225.124.100.100.600,Oximetry
E01.370.225.124.100.100.600.100,"Blood Gas Monitoring, Transcutaneous"
E01.370.225.124.100.105,Blood Glucose Self-Monitoring
E01.370.225.124.100.110,Blood Protein Electrophoresis
E01.370.225.124.100.115,Blood Urea Nitrogen
E01.370.225.124.100.232,Dried Blood Spot Testing
E01.370.225.124.100.350,Glucose Clamp Technique
E01.370.225.124.100.355,Glucose Tolerance Test
E01.370.225.124.100.450,Lactose Tolerance Test
E01.370.225.124.100.600,Petrosal Sinus Sampling
E01.370.225.124.200,Clinical Enzyme Tests
E01.370.225.124.300,Gastric Acidity Determination
E01.370.225.124.470,Limulus Test
E01.370.225.124.810,Urinalysis
E01.370.225.500,Cytological Techniques
E01.370.225.500.195,Cell Count
E01.370.225.500.195.107,Blood Cell Count
E01.370.225.500.195.107.330,Erythrocyte Count
E01.370.225.500.195.107.330.725,Reticulocyte Count
E01.370.225.500.195.107.595,Leukocyte Count
E01.370.225.500.195.107.595.500,Lymphocyte Count
E01.370.225.500.195.107.595.500.150,CD4 Lymphocyte Count
E01.370.225.500.195.107.595.500.150.160,CD4-CD8 Ratio
E01.370.225.500.195.107.740,Platelet Count
E01.370.225.500.195.870,Sperm Count
E01.370.225.500.223,Cell Culture Techniques
E01.370.225.500.223.500,Primary Cell Culture
E01.370.225.500.335,Cell Migration Assays
E01.370.225.500.335.500,"Cell Migration Assays, Leukocyte"
E01.370.225.500.335.750,"Cell Migration Assays, Macrophage"
E01.370.225.500.335.875,Skin Window Technique
E01.370.225.500.363,Cell Separation
E01.370.225.500.363.342,Flow Cytometry
E01.370.225.500.373,Cell Tracking
E01.370.225.500.383,Colony-Forming Units Assay
E01.370.225.500.383.910,Tumor Stem Cell Assay
E01.370.225.500.384,Cytodiagnosis
E01.370.225.500.384.050,Amniocentesis
E01.370.225.500.384.100,Biopsy
E01.370.225.500.384.100.119,"Biopsy, Needle"
E01.370.225.500.384.100.119.500,"Biopsy, Fine-Needle"
E01.370.225.500.384.100.119.500.500,Endoscopic Ultrasound-Guided Fine Needle Aspiration
E01.370.225.500.384.100.119.750,"Biopsy, Large-Core Needle"
E01.370.225.500.384.100.149,Chorionic Villi Sampling
E01.370.225.500.384.100.160,Conization
E01.370.225.500.384.100.370,Image-Guided Biopsy
E01.370.225.500.384.100.370.500,Endoscopic Ultrasound-Guided Fine Needle Aspiration
E01.370.225.500.384.100.396,Liquid Biopsy
E01.370.225.500.384.100.422,Papanicolaou Test
E01.370.225.500.384.100.580,Sentinel Lymph Node Biopsy
E01.370.225.500.384.100.800,Vaginal Smears
E01.370.225.500.384.235,"Cytopathogenic Effect, Viral"
E01.370.225.500.384.617,Karyometry
E01.370.225.500.385,Cytogenetic Analysis
E01.370.225.500.385.130,Chromosome Banding
E01.370.225.500.385.315,Karyotyping
E01.370.225.500.385.315.800,Spectral Karyotyping
E01.370.225.500.385.500,Mitotic Index
E01.370.225.500.386,Cytophotometry
E01.370.225.500.386.350,Flow Cytometry
E01.370.225.500.386.400,Image Cytometry
E01.370.225.500.386.400.500,Laser Scanning Cytometry
E01.370.225.500.388,"Drug Screening Assays, Antitumor"
E01.370.225.500.388.930,Tumor Stem Cell Assay
E01.370.225.500.508,Enzyme-Linked Immunospot Assay
E01.370.225.500.607,Histocytochemistry
E01.370.225.500.607.512,Immunohistochemistry
E01.370.225.500.607.512.240,Fluorescent Antibody Technique
