id,name
H01,Natural Science Disciplines
H01.158,Biological Science Disciplines
H01.158.100,Anatomy
H01.158.100.091,"Anatomy, Artistic"
H01.158.100.154,"Anatomy, Comparative"
H01.158.100.185,"Anatomy, Cross-Sectional"
H01.158.100.185.905,Visible Human Projects
H01.158.100.216,"Anatomy, Regional"
H01.158.100.279,"Anatomy, Veterinary"
H01.158.100.433,Cell Biology
H01.158.100.529,Embryology
H01.158.100.529.500,Teratology
H01.158.100.656,Histology
H01.158.100.656.234,Histocytochemistry
H01.158.100.656.234.512,Immunohistochemistry
H01.158.100.656.469,"Histology, Comparative"
H01.158.100.700,Neuroanatomy
H01.158.100.720,Osteology
H01.158.201,Biochemistry
H01.158.201.085,Carbohydrate Biochemistry
H01.158.201.085.320,Glycomics
H01.158.201.214,"Chemistry, Bioinorganic"
H01.158.201.344,Histocytochemistry
H01.158.201.344.512,Immunohistochemistry
H01.158.201.486,Immunochemistry
H01.158.201.486.512,Immunohistochemistry
H01.158.201.586,Metabolomics
H01.158.201.636,Molecular Biology
H01.158.201.636.475,Molecular Medicine
H01.158.201.636.475.500,Molecular Epidemiology
H01.158.201.636.475.750,"Pathology, Molecular"
H01.158.201.687,Neurochemistry
H01.158.201.843,Proteomics
H01.158.201.843.500,Proteogenomics
H01.158.273,Biology
H01.158.273.118,Botany
H01.158.273.118.299,Ethnobotany
H01.158.273.118.598,Pharmacognosy
H01.158.273.118.598.500,Herbal Medicine
H01.158.273.160,Cell Biology
H01.158.273.180,Computational Biology
H01.158.273.180.350,Genomics
H01.158.273.180.350.074,Epigenomics
H01.158.273.180.350.150,Glycomics
H01.158.273.180.350.162,HapMap Project
H01.158.273.180.350.174,Human Genome Project
H01.158.273.180.350.349,Nutrigenomics
H01.158.273.180.350.700,Proteomics
H01.158.273.180.350.700.500,Proteogenomics
H01.158.273.180.599,Metabolomics
H01.158.273.180.800,Systems Biology
H01.158.273.195,Cryobiology
H01.158.273.200,Developmental Biology
H01.158.273.200.350,Embryology
H01.158.273.200.350.500,Teratology
H01.158.273.200.675,Plant Pathology
H01.158.273.248,Ecology
H01.158.273.248.500,Ecotoxicology
H01.158.273.248.750,Hydrobiology
H01.158.273.248.750.249,Freshwater Biology
H01.158.273.248.750.500,Marine Biology
H01.158.273.248.875,Hydrology
H01.158.273.295,Exobiology
H01.158.273.343,Genetics
H01.158.273.343.180,Cytogenetics
H01.158.273.343.249,Genetic Research
H01.158.273.343.249.099,Gene Ontology
H01.158.273.343.249.199,HapMap Project
H01.158.273.343.249.400,Human Genome Project
H01.158.273.343.290,"Genetics, Behavioral"
H01.158.273.343.330,"Genetics, Microbial"
H01.158.273.343.335,"Genetics, Population"
H01.158.273.343.335.500,Phylogeography
H01.158.273.343.350,Genomics
H01.158.273.343.350.042,Epigenomics
H01.158.273.343.350.086,Glycomics
H01.158.273.343.350.130,HapMap Project
H01.158.273.343.350.174,Human Genome Project
H01.158.273.343.350.261,Metagenomics
H01.158.273.343.350.349,Nutrigenomics
H01.158.273.343.350.700,Proteomics
H01.158.273.343.350.700.500,Proteogenomics
H01.158.273.343.385,Human Genetics
H01.158.273.343.385.500,"Genetics, Medical"
H01.158.273.343.385.500.384,Genetic Counseling
H01.158.273.343.385.750,HapMap Project
H01.158.273.343.385.875,Human Genome Project
H01.158.273.343.420,Immunogenetics
H01.158.273.343.595,Molecular Biology
H01.158.273.343.595.475,Molecular Medicine
H01.158.273.343.595.475.500,Molecular Epidemiology
H01.158.273.343.595.475.750,"Pathology, Molecular"
H01.158.273.343.750,Pharmacogenetics
H01.158.273.343.800,Radiation Genetics
H01.158.273.343.900,Toxicogenetics
H01.158.273.368,Laboratory Animal Science
H01.158.273.540,Microbiology
H01.158.273.540.177,Bacteriology
H01.158.273.540.274,Environmental Microbiology
H01.158.273.540.274.110,Air Microbiology
H01.158.273.540.274.332,Food Microbiology
H01.158.273.540.274.555,Soil Microbiology
H01.158.273.540.274.777,Water Microbiology
H01.158.273.540.367,"Genetics, Microbial"
H01.158.273.540.460,Industrial Microbiology
H01.158.273.540.553,Mycology
H01.158.273.540.706,Plant Pathology
H01.158.273.540.859,Virology
H01.158.273.602,Natural History
H01.158.273.610,Neurobiology
H01.158.273.688,Parasitology
H01.158.273.688.500,Food Parasitology
H01.158.273.738,Photobiology
H01.158.273.789,Radiobiology
H01.158.273.866,Sociobiology
H01.158.273.904,Synthetic Biology
H01.158.273.943,Zoology
H01.158.273.943.409,Entomology
H01.158.344,Biophysics
H01.158.344.310,Bionics
H01.158.344.528,Electrophysiology
H01.158.344.528.500,Cardiac Electrophysiology
H01.158.550,Biotechnology
H01.158.550.100,Biomimetics
H01.158.580,Chronobiology Discipline
H01.158.610,Neurosciences
H01.158.610.030,Cognitive Neuroscience
H01.158.610.060,Neuroanatomy
H01.158.610.080,Neurobiology
H01.158.610.110,Neurochemistry
H01.158.610.160,Neuroendocrinology
H01.158.610.184,Neuropathology
H01.158.610.208,Neuropharmacology
H01.158.610.268,Neurophysiology
H01.158.703,Pharmacology
H01.158.703.003,Biopharmaceutics
H01.158.703.007,"Chemistry, Pharmaceutical"
H01.158.703.007.675,Drug Discovery
H01.158.703.007.675.500,Drug Design
H01.158.703.015,Ethnopharmacology
H01.158.703.030,Neuropharmacology
H01.158.703.045,Pharmacoepidemiology
H01.158.703.052,Pharmacogenetics
H01.158.703.060,Pharmacognosy
H01.158.703.060.500,Herbal Medicine
H01.158.703.152,"Pharmacology, Clinical"
H01.158.703.546,Psychopharmacology
H01.158.782,Physiology
H01.158.782.236,Electrophysiology
H01.158.782.236.500,Cardiac Electrophysiology
H01.158.782.323,Endocrinology
H01.158.782.323.200,Neuroendocrinology
H01.158.782.562,Neurophysiology
H01.158.782.688,"Physiology, Comparative"
H01.158.782.795,Psychophysiology
H01.158.782.795.110,Neuropsychology
H01.158.782.795.180,Psychoneuroimmunology
H01.158.891,Toxicology
H01.158.891.211,Ecotoxicology
H01.158.891.424,Forensic Toxicology
H01.158.891.850,Toxicogenetics
H01.181,Chemistry
H01.181.122,Biochemistry
H01.181.122.253,"Chemistry, Bioinorganic"
H01.181.122.508,Glycomics
H01.181.122.573,Histocytochemistry
H01.181.122.573.512,Immunohistochemistry
H01.181.122.605,Immunochemistry
H01.181.122.605.512,Immunohistochemistry
H01.181.122.638,Metabolomics
H01.181.122.650,Molecular Biology
H01.181.122.650.475,Molecular Medicine
H01.181.122.650.475.550,Molecular Epidemiology
H01.181.122.650.475.680,"Pathology, Molecular"
H01.181.122.709,Neurochemistry
H01.181.122.738,Proteomics
H01.181.122.738.500,Proteogenomics
H01.181.216,"Chemistry, Agricultural"
H01.181.309,"Chemistry, Analytic"
H01.181.341,"Chemistry, Clinical"
H01.181.370,"Chemistry, Inorganic"
H01.181.370.310,"Chemistry, Bioinorganic"
H01.181.404,"Chemistry, Organic"
H01.181.466,"Chemistry, Pharmaceutical"
H01.181.466.675,Drug Discovery
H01.181.466.675.500,Drug Design
H01.181.529,"Chemistry, Physical"
H01.181.529.240,Crystallography
H01.181.529.307,Electrochemistry
H01.181.529.711,Photochemistry
H01.181.529.776,Radiochemistry
H01.181.650,Microchemistry
H01.277,Earth Sciences
H01.277.249,Ecology
H01.277.249.500,Ecotoxicology
H01.277.249.750,Hydrobiology
H01.277.249.750.249,Freshwater Biology
H01.277.249.750.500,Marine Biology
H01.277.249.875,Hydrology
H01.277.500,Geography
H01.277.500.097,"Geography, Medical"
H01.277.500.097.500,"Topography, Medical"
H01.277.500.589,Phylogeography
H01.277.562,Geology
H01.277.625,Limnology
H01.277.625.500,Freshwater Biology
H01.277.687,Meteorology
H01.277.750,Oceanography
H01.277.750.500,Marine Biology
H01.277.875,Paleontology
H01.413,Materials Science
H01.548,Mathematics
H01.548.675,Nonlinear Dynamics
H01.548.832,Statistics as Topic
H01.570,Microtechnology
H01.603,Nanotechnology
H01.603.600,Nanomedicine
H01.603.600.500,Theranostic Nanomedicine
H01.671,Physics
H01.671.031,Acoustics
H01.671.031.849,Ultrasonics
H01.671.065,Astronomy
H01.671.100,Biophysics
H01.671.100.202,Bionics
H01.671.293,Electronics
H01.671.293.159,Bionics
H01.671.293.319,"Electronics, Medical"
H01.671.293.643,Robotics
H01.671.368,Health Physics
H01.671.493,Magnetics
H01.671.515,Mechanics
H01.671.547,Meteorology
H01.671.579,Nuclear Physics
H01.671.579.800,Quantum Theory
H01.671.617,Optics and Photonics
H01.671.617.249,Fiber Optic Technology
H01.671.617.562,Microscopy
H01.671.617.755,Refractometry
H01.671.808,Rheology
H01.671.808.500,Microfluidics
H01.770,Science
H01.770.552,Natural History
H01.770.644,Research
H01.770.644.053,Animal Experimentation
H01.770.644.108,Behavioral Research
H01.770.644.108.687,Biobehavioral Sciences
H01.770.644.145,Biomedical Research
H01.770.644.145.124,Dental Research
H01.770.644.145.250,Embryo Research
H01.770.644.145.300,Fetal Research
H01.770.644.145.350,Genetic Research
H01.770.644.145.350.124,Gene Ontology
H01.770.644.145.350.249,HapMap Project
H01.770.644.145.350.500,Human Genome Project
H01.770.644.145.360,Health Services Research
H01.770.644.145.360.500,Comparative Effectiveness Research
H01.770.644.145.365,Human Experimentation
H01.770.644.145.365.100,Autoexperimentation
H01.770.644.145.365.750,Nontherapeutic Human Experimentation
H01.770.644.145.365.875,Therapeutic Human Experimentation
H01.770.644.145.390,Nursing Research
H01.770.644.145.390.234,Clinical Nursing Research
H01.770.644.145.390.385,Nursing Administration Research
H01.770.644.145.390.413,Nursing Education Research
H01.770.644.145.390.432,Nursing Evaluation Research
H01.770.644.145.390.634,Nursing Methodology Research
H01.770.644.145.431,Outcome Assessment (Health Care)
H01.770.644.145.431.500,"Failure to Rescue, Health Care"
H01.770.644.145.442,Pharmaceutical Research
H01.770.644.145.452,Pharmacy Research
H01.770.644.145.472,Rehabilitation Research
H01.770.644.145.512,Stem Cell Research
H01.770.644.145.675,Translational Medical Research
H01.770.644.193,Community-Based Participatory Research
H01.770.644.205,Data Anonymization
H01.770.644.217,Dual Use Research
H01.770.644.241,Empirical Research
H01.770.644.241.424,Grounded Theory
H01.770.644.241.850,Qualitative Research
H01.770.644.241.850.750,Hermeneutics
H01.770.644.287,Interdisciplinary Research
H01.770.644.333,Operations Research
H01.770.644.364,Parapsychology
H01.770.644.487,"Peer Review, Research"
H01.770.644.578,Proof of Concept Study
H01.770.644.608,Public Health Systems Research
H01.770.644.728,Research Design
H01.770.644.864,Research Report
H01.770.644.932,"Social Validity, Research"
H01.770.787,Systems Integration
H01.770.808,Systems Theory
