id,name
N06,Environment and Public Health
N06.230,Environment
N06.230.058,Altitude
N06.230.063,Carbon Footprint
N06.230.066,Caves
N06.230.069,Cities
N06.230.074,Confined Spaces
N06.230.080,Conservation of Natural Resources
N06.230.080.078,Conservation of Energy Resources
N06.230.080.200,Endangered Species
N06.230.080.600,Environmental Restoration and Remediation
N06.230.080.600.500,"Biodegradation, Environmental"
N06.230.080.800,Conservation of Water Resources
N06.230.100,Disasters
N06.230.100.035,Disaster Planning
N06.230.100.035.500,Strategic Stockpile
N06.230.100.083,Emergencies
N06.230.100.121,Emergency Shelter
N06.230.100.160,Mass Casualty Incidents
N06.230.100.300,Relief Work
N06.230.100.350,Rescue Work
N06.230.124,Ecosystem
N06.230.124.049,Biodiversity
N06.230.124.049.100,Biota
N06.230.124.049.100.500,Microbiota
N06.230.124.049.100.500.250,Gastrointestinal Microbiome
N06.230.124.049.100.500.500,Microbial Consortia
N06.230.124.049.100.500.750,Mycobiome
N06.230.124.049.100.500.875,Periphyton
N06.230.124.049.230,Ecotype
N06.230.124.049.250,Endangered Species
N06.230.124.049.400,Introduced Species
N06.230.124.100,Biomass
N06.230.124.130,Coral Reefs
N06.230.124.240,"Ecological Systems, Closed"
N06.230.124.250,Food Chain
N06.230.124.343,Forests
N06.230.124.343.500,Rainforest
N06.230.124.343.750,Taiga
N06.230.124.390,Grassland
N06.230.124.437,Rhizosphere
N06.230.124.531,Tundra
N06.230.124.531.500,Permafrost
N06.230.124.625,Wetlands
N06.230.132,Energy-Generating Resources
N06.230.132.258,Fossil Fuels
N06.230.132.258.108,Coal
N06.230.132.258.108.110,Coke
N06.230.132.258.369,Natural Gas
N06.230.132.258.630,Petroleum
N06.230.132.258.630.500,Fuel Oils
N06.230.132.258.630.540,Gasoline
N06.230.132.258.630.600,Kerosene
N06.230.132.580,Nuclear Energy
N06.230.132.580.500,Nuclear Fission
N06.230.132.580.520,Nuclear Fusion
N06.230.132.644,Renewable Energy
N06.230.132.644.124,Biofuels
N06.230.132.644.186,Geothermal Energy
N06.230.132.644.500,Solar Energy
N06.230.132.644.750,Water Movements
N06.230.132.644.750.500,Tidal Waves
N06.230.132.644.875,Wind
N06.230.150,"Environment, Controlled"
N06.230.150.050,Air Conditioning
N06.230.150.150,Diving
N06.230.150.225,"Ecological Systems, Closed"
N06.230.150.300,Heating
N06.230.150.360,Housing
N06.230.150.360.250,"Housing, Animal"
N06.230.150.360.250.200,"Hospitals, Animal"
N06.230.150.360.260,Housing for the Elderly
N06.230.150.360.650,Public Housing
N06.230.150.372,Humidity
N06.230.150.391,Life Support Systems
N06.230.150.410,Lighting
N06.230.150.440,Space Simulation
N06.230.150.440.950,Weightlessness Simulation
N06.230.150.440.950.400,Hindlimb Suspension
N06.230.150.450,Temperature
N06.230.150.520,Ventilation
N06.230.200,Environment Design
N06.230.204,Environmental Policy
N06.230.208,Explosions
N06.230.216,Fires
N06.230.216.500,Fire Extinguishing Systems
N06.230.216.750,Spontaneous Combustion
N06.230.216.875,Wildfires
N06.230.232,Fresh Water
N06.230.232.500,Lakes
N06.230.232.625,Ponds
N06.230.232.650,Rivers
N06.230.265,Greenhouse Effect
N06.230.291,Ice
N06.230.291.500,Ice Cover
N06.230.295,Islands
N06.230.300,Meteorological Concepts
N06.230.300.100,Atmosphere
N06.230.300.100.150,Air
N06.230.300.100.150.100,Air Ionization
N06.230.300.100.150.185,Air Movements
N06.230.300.100.150.185.200,Wind
N06.230.300.100.150.592,Compressed Air
N06.230.300.100.185,Atmospheric Pressure
N06.230.300.100.185.100,Air Pressure
