id,value
CVD,C14
CVD.Cardiovascular Abnormalities,C14.240
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital",C14.240.400
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.22q11 Deletion Syndrome",C14.240.400.021
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.22q11 Deletion Syndrome.DiGeorge Syndrome",C14.240.400.021.500
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Alagille Syndrome",C14.240.400.044
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Aortic Coarctation",C14.240.400.090
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Arrhythmogenic Right Ventricular Dysplasia",C14.240.400.145
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Barth Syndrome",C14.240.400.172
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Cor Triatriatum",C14.240.400.200
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Coronary Vessel Anomalies",C14.240.400.210
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Coronary Vessel Anomalies.Bland White Garland Syndrome",C14.240.400.210.249
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Coronary Vessel Anomalies.Myocardial Bridging",C14.240.400.210.500
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Crisscross Heart",C14.240.400.220
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Dextrocardia",C14.240.400.280
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Dextrocardia.Kartagener Syndrome",C14.240.400.280.500
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Ductus Arteriosus, Patent",C14.240.400.340
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Ebstein Anomaly",C14.240.400.395
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Ectopia Cordis",C14.240.400.422
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Eisenmenger Complex",C14.240.400.450
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Heart Septal Defects",C14.240.400.560
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Heart Septal Defects.Aortopulmonary Septal Defect",C14.240.400.560.098
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Heart Septal Defects.Aortopulmonary Septal Defect.Truncus Arteriosus, Persistent",C14.240.400.560.098.500
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Heart Septal Defects.Endocardial Cushion Defects",C14.240.400.560.350
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Heart Septal Defects.Heart Septal Defects, Atrial",C14.240.400.560.375
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Heart Septal Defects.Heart Septal Defects, Atrial.Foramen Ovale, Patent",C14.240.400.560.375.258
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Heart Septal Defects.Heart Septal Defects, Atrial.Lutembacher Syndrome",C14.240.400.560.375.518
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Heart Septal Defects.Heart Septal Defects, Ventricular",C14.240.400.560.540
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Heterotaxy Syndrome",C14.240.400.592
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Hypoplastic Left Heart Syndrome",C14.240.400.625
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Isolated Noncompaction of the Ventricular Myocardium",C14.240.400.660
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.LEOPARD Syndrome",C14.240.400.695
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Levocardia",C14.240.400.701
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Marfan Syndrome",C14.240.400.725
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Noonan Syndrome",C14.240.400.787
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Tetralogy of Fallot",C14.240.400.849
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Transposition of Great Vessels",C14.240.400.915
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Transposition of Great Vessels.Double Outlet Right Ventricle",C14.240.400.915.300
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Tricuspid Atresia",C14.240.400.920
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Trilogy of Fallot",C14.240.400.960
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Trisomy 13 Syndrome",C14.240.400.970
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Trisomy 18 Syndrome",C14.240.400.975
"CVD.Cardiovascular Abnormalities.Heart Defects, Congenital.Turner Syndrome",C14.240.400.980
CVD.Cardiovascular Abnormalities.Vascular Malformations,C14.240.850
CVD.Cardiovascular Abnormalities.Vascular Malformations.Arteriovenous Malformations,C14.240.850.750
CVD.Cardiovascular Abnormalities.Vascular Malformations.Arteriovenous Malformations.Arteriovenous Fistula,C14.240.850.750.147
CVD.Cardiovascular Abnormalities.Vascular Malformations.Arteriovenous Malformations.Arteriovenous Fistula.Carotid-Cavernous Sinus Fistula,C14.240.850.750.147.500
CVD.Cardiovascular Abnormalities.Vascular Malformations.Arteriovenous Malformations.Intracranial Arteriovenous Malformations,C14.240.850.750.295
CVD.Cardiovascular Abnormalities.Vascular Malformations.Arteriovenous Malformations.Intracranial Arteriovenous Malformations.Vein of Galen Malformations,C14.240.850.750.295.500
CVD.Cardiovascular Abnormalities.Vascular Malformations.Central Nervous System Vascular Malformations,C14.240.850.875
CVD.Cardiovascular Abnormalities.Vascular Malformations.Central Nervous System Vascular Malformations.Central Nervous System Venous Angioma,C14.240.850.875.124
"CVD.Cardiovascular Abnormalities.Vascular Malformations.Central Nervous System Vascular Malformations.Hemangioma, Cavernous, Central Nervous System",C14.240.850.875.249
CVD.Cardiovascular Abnormalities.Vascular Malformations.Central Nervous System Vascular Malformations.Intracranial Arteriovenous Malformations,C14.240.850.875.500
CVD.Cardiovascular Abnormalities.Vascular Malformations.Central Nervous System Vascular Malformations.Intracranial Arteriovenous Malformations.Vein of Galen Malformations,C14.240.850.875.500.500
CVD.Cardiovascular Abnormalities.Vascular Malformations.Central Nervous System Vascular Malformations.Sinus Pericranii,C14.240.850.875.750
CVD.Cardiovascular Abnormalities.Vascular Malformations.May-Thurner Syndrome,C14.240.850.906
CVD.Cardiovascular Abnormalities.Vascular Malformations.Median Arcuate Ligament Syndrome,C14.240.850.922
CVD.Cardiovascular Abnormalities.Vascular Malformations.Pulmonary Atresia,C14.240.850.937
CVD.Cardiovascular Abnormalities.Vascular Malformations.Scimitar Syndrome,C14.240.850.968
CVD.Cardiovascular Abnormalities.Vascular Malformations.Single Umbilical Artery,C14.240.850.976
CVD.Cardiovascular Abnormalities.Vascular Malformations.Vascular Fistula,C14.240.850.984
CVD.Cardiovascular Abnormalities.Vascular Malformations.Vascular Fistula.Arterio-Arterial Fistula,C14.240.850.984.500
CVD.Cardiovascular Abnormalities.Vascular Malformations.Vascular Fistula.Arterio-Arterial Fistula.Bland White Garland Syndrome,C14.240.850.984.500.500
CVD.Cardiovascular Abnormalities.Vascular Malformations.Vascular Fistula.Arteriovenous Fistula,C14.240.850.984.750
