id,value
DCS,426429380 
"DCS.Symptoms, signs or clinical findings of the circulatory system",796618507 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system",757547077 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormal blood-pressure reading, without diagnosis",1853670927 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormal blood-pressure reading, without diagnosis.Elevated blood-pressure reading, without diagnosis of hypertension",523963970 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormal blood-pressure reading, without diagnosis.Elevated blood-pressure reading, without diagnosis of hypertension.White coat hypertension",461779987 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormal blood-pressure reading, without diagnosis.Nonspecific low blood-pressure reading",2054210520 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat",449943282 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Tachycardia, unspecified",515681918 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Tachycardia, unspecified.Sinoatrial node tachycardia",1890558408 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Tachycardia, unspecified.Sinoauricular tachycardia",1617246334 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Tachycardia, unspecified.Sinus tachycardia not elsewhere classified",1079046206 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Bradycardia, unspecified",2079810536 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Bradycardia, unspecified.Bradycardia syncope",1840127321 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Bradycardia, unspecified.Sinoatrial bradycardia",259095111 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Bradycardia, unspecified.Vagal autonomic bradycardia",1085606062 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Bradycardia, unspecified.Vagal bradycardia",1702385006 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Palpitations",257569559 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Paroxysmal tachycardia",1926915195 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Paroxysmal tachycardia.Re-entry ventricular arrhythmia",1413369823 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Coupled rhythm",486026147 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Gallop rhythm",2032371222 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Pulse, alternating",1443395254 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Pulse, bigeminal",1552273882 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Pulseless electrical activity, not elsewhere classified",1551889515 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Pulsus alternans or trigeminus",1981086748 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Abnormalities of heart beat.Trigeminy",2090425208 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Ankle oedema",2061373715 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Arterial murmur",1074184414 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac arrest",395422191 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac arrest.Ventricular tachycardia and fibrillation cardiac arrest",1966487547 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac arrest.Bradycardic cardiac arrest",1782916831 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac arrest.Asystolic cardiac arrest",1903057237 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac arrest.Cardiac arrest with pulseless electrical activity",547109156 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac arrest.Sudden cardiac arrest",264292672 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac arrest.Cardiopulmonary arrest",2121132007 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac murmurs and other cardiac sounds",2140822372 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac murmurs and other cardiac sounds.Benign and innocent cardiac murmurs",38037245 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac murmurs and other cardiac sounds.Other cardiac sounds",329448344 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac murmurs and other cardiac sounds.Other cardiac sounds.Cardiac dullness",515910988 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac murmurs and other cardiac sounds.Other cardiac sounds.Cardiac friction fremitus",775912634 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac murmurs and other cardiac sounds.Other cardiac sounds.Decreased cardiac dullness",711397910 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac murmurs and other cardiac sounds.Other cardiac sounds.Increased cardiac dullness",1604997463 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac murmurs and other cardiac sounds.Other cardiac sounds.Precordial friction",2053573781 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiac murmurs and other cardiac sounds.Other cardiac sounds.Splitting of heart sounds",200417658 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Cardiovascular pain",1092998509 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Fear of cardiovascular disease",1204029163 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Fear of heart disease",1334495976 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Fear of hypertension",1884759957 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Gangrene",188156827 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Gangrene.Abdominal gangrene",817763182 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Gangrene.Connective tissue gangrene",1692396689 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Gangrene.Gangrene of leg",267962890 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Gangrene.Gangrene of skin",1159845363 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Gangrene.Gangrene of umbilicus",263881448 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Gangrene.Perineal gangrene",640421277 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Gangrene.Spinal gangrene",695238047 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Labile blood pressure",261267664 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Precordial pain",874725975 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Pressure or tightness of heart",741803000 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Prominent veins",1412769398 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Symptoms or signs involving the circulatory system.Weak pulse",255135906 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Clinical findings on diagnostic imaging of heart or coronary circulation",356779665 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Clinical findings on diagnostic imaging of heart or coronary circulation.Abnormal cardiac shadow",736482719 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Results of function studies of the circulatory system",1071377082 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Results of function studies of the circulatory system.Abnormal electrocardiogram",318933767 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Results of function studies of the circulatory system.Abnormal electrophysiological intracardiac studies",1179483466 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Results of function studies of the circulatory system.Abnormal phonocardiogram",426431739 
"DCS.Symptoms, signs or clinical findings of the circulatory system.Results of function studies of the circulatory system.Abnormal vectorcardiogram",678901441 
DCS.Neoplasms of the circulatory system,539975693 
DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms,1965082709 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site",1625755389 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Extraskeletal myxoid chondrosarcoma of other specified sites",782606527 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Extraskeletal myxoid chondrosarcoma of soft tissues of limb",617665544 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Extraskeletal myxoid chondrosarcoma, site unknown",834676499 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Chondrosarcoma of bone or articular cartilage of limbs",2072379825 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Chondrosarcoma of bone or articular cartilage of pelvis",1493554134 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Chondrosarcoma of bone or articular cartilage of ribs",1985099973 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Chondrosarcoma of bone or articular cartilage of other specified sites",1510754862 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Chondrosarcoma of bone or articular cartilage of other specified sites.Chondrosarcoma of bone or articular cartilage of mandible",993091882 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Chondrosarcoma of bone or articular cartilage of other specified sites.Chondrosarcoma of bone or articular cartilage of pelvic bones, sacrum or coccyx",387820742 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Chondrosarcoma of bone or articular cartilage of other specified sites.Chondrosarcoma of bone or articular cartilage of ribs, sternum or clavicle",546213304 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Chondrosarcoma of bone or articular cartilage of other specified sites.Chondrosarcoma of bone or articular cartilage of skull or face",431141709 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Chondrosarcoma, primary site.Chondrosarcoma of bone or articular cartilage of other specified sites.Chondrosarcoma of bone or articular cartilage of vertebral column",34430941 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Osteosarcoma, primary site",1210287093 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Osteosarcoma, primary site.Osteosarcoma of bone or articular cartilage of jaw",1102292672 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Osteosarcoma, primary site.Osteosarcoma of bone or articular cartilage of jaw.Osteosarcoma of bone or articular cartilage of mandible",1711793747 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Osteosarcoma, primary site.Osteosarcoma of bone or articular cartilage of limbs",1664120027 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Osteosarcoma, primary site.Osteosarcoma of bone or articular cartilage of pelvis",1419990437 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Osteosarcoma, primary site.Osteosarcoma of bone or articular cartilage of other specified sites",1803466968 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Osteosarcoma, primary site.Osteosarcoma of bone or articular cartilage of other specified sites.Osteosarcoma of bone or articular cartilage of pelvic bones, sacrum or coccyx",1547763289 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Osteosarcoma, primary site.Osteosarcoma of bone or articular cartilage of other specified sites.Osteosarcoma of bone or articular cartilage of ribs, sternum or clavicle",1930892618 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Osteosarcoma, primary site.Osteosarcoma of bone or articular cartilage of other specified sites.Osteosarcoma of bone or articular cartilage of skull or face",1337056966 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Osteosarcoma, primary site.Osteosarcoma of bone or articular cartilage of other specified sites.Osteosarcoma of bone or articular cartilage of vertebral column",1368704813 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Osteosarcoma, primary site.Li-Fraumeni syndrome",1968061860 
"DCS.Neoplasms of the circulatory system.Malignant mesenchymal neoplasms.Ewing sarcoma, primary site",1651102476 
